,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
6011,0.572,0.691,6.0,-5.038,1.0,0.0314,0.163,0.0,0.14,0.36,130.974,audio_features,0nTXElyiOEN60Z22Pyu9tt,spotify:track:0nTXElyiOEN60Z22Pyu9tt,https://api.spotify.com/v1/tracks/0nTXElyiOEN60Z22Pyu9tt,https://api.spotify.com/v1/audio-analysis/0nTXElyiOEN60Z22Pyu9tt,201067.0,4.0
6012,0.66,0.784,9.0,-5.103,1.0,0.0663,0.0217,0.0,0.619,0.536,88.008,audio_features,0Wh2pXqDh3Mmtg3AxCQciT,spotify:track:0Wh2pXqDh3Mmtg3AxCQciT,https://api.spotify.com/v1/tracks/0Wh2pXqDh3Mmtg3AxCQciT,https://api.spotify.com/v1/audio-analysis/0Wh2pXqDh3Mmtg3AxCQciT,159005.0,4.0
6013,0.68,0.755,6.0,-5.509,0.0,0.029,0.0206,0.0,0.21,0.824,101.048,audio_features,0dwudL6pM7zLO7MSUxMUYd,spotify:track:0dwudL6pM7zLO7MSUxMUYd,https://api.spotify.com/v1/tracks/0dwudL6pM7zLO7MSUxMUYd,https://api.spotify.com/v1/audio-analysis/0dwudL6pM7zLO7MSUxMUYd,155440.0,4.0
6014,0.659,0.625,4.0,-2.253,1.0,0.045,0.0644,0.0,0.582,0.442,88.042,audio_features,4hPpVbbakQNv8YTHYaOJP4,spotify:track:4hPpVbbakQNv8YTHYaOJP4,https://api.spotify.com/v1/tracks/4hPpVbbakQNv8YTHYaOJP4,https://api.spotify.com/v1/audio-analysis/4hPpVbbakQNv8YTHYaOJP4,181824.0,4.0
6015,0.69,0.781,5.0,-5.104,0.0,0.0307,0.0881,2.1e-06,0.176,0.853,130.024,audio_features,6bZq9yf23N1xXVmNeyhDsb,spotify:track:6bZq9yf23N1xXVmNeyhDsb,https://api.spotify.com/v1/tracks/6bZq9yf23N1xXVmNeyhDsb,https://api.spotify.com/v1/audio-analysis/6bZq9yf23N1xXVmNeyhDsb,190747.0,4.0
6016,0.59,0.389,2.0,-9.245,1.0,0.0387,0.411,1.48e-06,0.117,0.389,166.055,audio_features,502K63odNLjNclOBTDktJF,spotify:track:502K63odNLjNclOBTDktJF,https://api.spotify.com/v1/tracks/502K63odNLjNclOBTDktJF,https://api.spotify.com/v1/audio-analysis/502K63odNLjNclOBTDktJF,228320.0,4.0
6017,0.375,0.574,7.0,-5.305,1.0,0.0315,0.143,0.0,0.11,0.406,132.025,audio_features,2ZxTjs4EdJl4Y9YByIiNoo,spotify:track:2ZxTjs4EdJl4Y9YByIiNoo,https://api.spotify.com/v1/tracks/2ZxTjs4EdJl4Y9YByIiNoo,https://api.spotify.com/v1/audio-analysis/2ZxTjs4EdJl4Y9YByIiNoo,196800.0,3.0
6018,0.414,0.507,3.0,-5.191,1.0,0.0439,0.364,0.0,0.105,0.379,80.377,audio_features,70fSevXWD2U6KFWZvtlhiv,spotify:track:70fSevXWD2U6KFWZvtlhiv,https://api.spotify.com/v1/tracks/70fSevXWD2U6KFWZvtlhiv,https://api.spotify.com/v1/audio-analysis/70fSevXWD2U6KFWZvtlhiv,201653.0,4.0
6019,0.578,0.763,8.0,-7.498,0.0,0.0443,0.472,0.0,0.135,0.561,92.01,audio_features,0h6qJZXkVGNUIoM4q8CrFH,spotify:track:0h6qJZXkVGNUIoM4q8CrFH,https://api.spotify.com/v1/tracks/0h6qJZXkVGNUIoM4q8CrFH,https://api.spotify.com/v1/audio-analysis/0h6qJZXkVGNUIoM4q8CrFH,172826.0,4.0
6020,0.469,0.662,6.0,-8.021,1.0,0.0335,0.427,1.93e-05,0.117,0.608,176.033,audio_features,5v9jrgFC0zbE9Dagn1gg0G,spotify:track:5v9jrgFC0zbE9Dagn1gg0G,https://api.spotify.com/v1/tracks/5v9jrgFC0zbE9Dagn1gg0G,https://api.spotify.com/v1/audio-analysis/5v9jrgFC0zbE9Dagn1gg0G,174838.0,4.0
6021,0.8,0.515,9.0,-5.431,1.0,0.0351,0.0724,0.0,0.355,0.949,110.018,audio_features,1LtiNpTzzSX8qcvlPFLmeR,spotify:track:1LtiNpTzzSX8qcvlPFLmeR,https://api.spotify.com/v1/tracks/1LtiNpTzzSX8qcvlPFLmeR,https://api.spotify.com/v1/audio-analysis/1LtiNpTzzSX8qcvlPFLmeR,193145.0,4.0
6022,0.663,0.675,11.0,-5.702,1.0,0.0287,0.272,0.0,0.151,0.819,126.98,audio_features,4g02Ty2n2yAEiRidGVNgmG,spotify:track:4g02Ty2n2yAEiRidGVNgmG,https://api.spotify.com/v1/tracks/4g02Ty2n2yAEiRidGVNgmG,https://api.spotify.com/v1/audio-analysis/4g02Ty2n2yAEiRidGVNgmG,201995.0,4.0
